,id,Total
731,8512528,820.0
732,5722520,1035.0
733,3160168,504.0
734,8516069,613.0
735,5969559,1081.0
736,8740239,122.0
737,1849112,747.0
738,470855,327.0
739,699281,824.0
740,1228806,836.0
741,8585984,1089.0
742,8557298,626.0
743,332565,1156.0
744,8550528,122.0
745,8639826,320.0
746,8618529,122.0
747,472249,1576.0
748,5718343,333.0
749,396406,690.0
750,1909786,307.0
751,4081350,618.0
752,1266194,910.0
753,7245765,624.0
754,8527298,892.0
755,8696443,121.0
756,8100288,536.0
757,468038,360.0
758,889090,2116.0
759,4289130,763.0
760,8718386,121.0
761,8627000,344.0
762,8583233,647.0
763,8571645,396.0
764,8553929,707.0
765,8629126,377.0
766,1964219,873.0
767,8535084,480.0
768,8645061,314.0
769,3161836,120.0
770,8558446,733.0
771,8084077,372.0
772,8707708,119.0
773,2988814,778.0
774,8623363,553.0
775,844863,491.0
776,351613,1055.0
777,8744668,119.0
778,7214675,421.0
779,8662073,470.0
780,7053979,1300.0
781,8559789,614.0
782,8512088,893.0
783,4372924,1135.0
784,8527451,695.0
785,8601388,700.0
786,8707897,118.0
787,2958754,673.0
788,940908,616.0
789,4256480,1038.0
790,8560506,291.0
791,2046811,561.0
792,8544994,809.0
793,8577476,1037.0
794,8563980,1933.0
795,7005990,415.0
796,8691067,419.0
797,947996,286.0
798,8728516,117.0
799,4115264,331.0
800,471172,756.0
801,7178597,585.0
802,5768258,1017.0
803,1992812,771.0
804,1076061,751.0
805,5903334,116.0
806,8124053,609.0
807,4235086,116.0
808,8638293,1224.0
809,873189,1082.0
810,5647283,855.0
811,6930200,292.0
812,8746596,115.0
813,8535641,428.0
814,3234782,919.0
815,8639319,397.0
816,2911225,432.0
817,4337157,591.0
818,1114820,796.0
819,6871346,1130.0
820,4303547,696.0
821,8729679,114.0
822,8738152,114.0
823,2017166,770.0
824,8546320,1218.0
825,8039801,716.0
826,8509426,613.0
827,8722460,114.0
828,978145,843.0
829,2007020,113.0
830,8700470,388.0
831,1142997,492.0
832,3034625,566.0
833,8558047,295.0
834,8150412,652.0
835,8571901,606.0
836,8703180,289.0
837,7003436,861.0
838,626335,592.0
839,8720798,112.0
840,8722751,277.0
841,4212260,374.0
842,8740446,112.0
843,8552920,1092.0
844,8702902,112.0
845,664002,621.0
846,355643,112.0
847,8682844,396.0
848,2092255,716.0
849,5782416,595.0
850,790882,1448.0
851,8724163,111.0
852,8701588,111.0
853,3172967,593.0
854,8526621,382.0
855,8713639,111.0
856,8709322,111.0
857,3258053,712.0
858,1013955,713.0
859,8733046,111.0
860,5933562,647.0
861,4328013,642.0
862,8729868,110.0
863,2051151,460.0
864,8531569,611.0
865,4260154,908.0
866,3102518,110.0
867,8709779,110.0
868,4169917,1310.0
869,8536148,110.0
870,8586342,608.0
871,8023914,858.0
872,7079713,845.0
873,5780342,323.0
874,314490,266.0
875,1086396,1552.0
876,8527361,531.0
877,522102,1118.0
878,4302208,635.0
879,8510476,877.0
880,8533869,731.0
881,8528358,539.0
882,7029730,861.0
883,8548661,284.0
884,8598711,477.0
885,8723022,109.0
886,8684328,291.0
887,8066134,656.0
888,8641594,109.0
889,8672522,460.0
890,668918,583.0
891,7048571,324.0
892,8637787,1086.0
893,7145542,108.0
894,8570979,108.0
895,8725443,108.0
896,1165428,448.0
897,4151860,533.0
898,8613790,301.0
899,8692666,108.0
900,8563210,643.0
